rider_id,first_name,last_name,phone_number,gender,is_active,account_created_date,last_update_dt,geo_city
1001,Ahmed,Al-Farsi,+966501111111,M,True,2024-03-15,2026-03-20 10:30:00,DHR
1002,Sara,Mohammed,+966502222222,F,True,2024-05-20,2026-03-18 14:22:00,DHR
1003,Omar,Hassan,+966503333333,M,True,2024-07-01,2026-02-15 09:10:00,DHR
1004,Fatima,Al-Rashid,+966504444444,F,True,2024-08-10,2026-03-25 16:45:00,RYD
1005,Khalid,Ibrahim,+966505555555,M,False,2024-01-05,2026-01-10 08:00:00,RYD
1006,Noura,Al-Salem,+966506666666,F,True,2024-11-12,2026-03-28 11:30:00,DHR
1007,Youssef,Al-Qahtani,+966507777777,M,True,2025-01-20,2026-03-15 13:20:00,DHR
1008,Layla,Mansour,+966508888888,F,True,2025-03-05,2026-03-22 17:55:00,RYD
1009,Faisal,Al-Dosari,+966509999999,M,True,2025-06-18,2026-03-30 07:40:00,DHR
1010,Maha,Al-Otaibi,+966501010101,F,True,2025-08-25,2026-04-01 12:00:00,RYD
1011,Abdullah,Nasser,+966501111112,M,True,2024-04-10,2026-03-10 09:15:00,DHR
1012,Reem,Al-Harbi,+966501111113,F,True,2024-06-22,2026-02-28 14:30:00,DHR
1013,Turki,Al-Shehri,+966501111114,M,True,2024-09-15,2026-03-05 11:45:00,RYD
1014,Dana,Al-Ghamdi,+966501111115,F,True,2025-02-14,2026-03-20 16:20:00,DHR
1015,Saad,Al-Mutairi,+966501111116,M,True,2025-05-30,2026-04-02 08:30:00,RYD
